xi,x_orig_mm,y_orig_mm,x_bumped_mm,y_bumped_mm,s_mm,h_mm
0.0296324081,-423.9433106,0.4726486182,-423.9433106,0.4726486182,36.96003867,0
0.02975743936,-423.8333059,0.5234893474,-423.8333059,0.5234893474,37.08122247,0
0.02988247062,-423.7232967,0.5742455206,-423.7232967,0.5742455206,37.20237313,0
0.03000750188,-423.613283,0.6249169903,-423.613283,0.6249169903,37.32350368,0
0.03013253313,-423.5032649,0.6755036092,-423.5032649,0.6755036092,37.444587,0
0.03025756439,-423.3932423,0.7260052299,-423.3932423,0.7260052299,37.56564719,0
0.03038259565,-423.2832152,0.7764217051,-423.2832152,0.7764217051,37.68668026,0
0.03050762691,-423.1731836,0.8267528872,-423.1731836,0.8267528872,37.80767007,0
0.03063265816,-423.0631475,0.876998629,-423.0631475,0.876998629,37.92863976,0
0.03075768942,-422.9531069,0.9271587832,-422.9531069,0.9271587832,38.04957231,0
0.03088272068,-422.8430618,0.9772332022,-422.8430618,0.9772332022,38.17047161,0
0.03100775194,-422.7330121,1.027221739,-422.7330121,1.027221739,38.29135079,0
0.0311327832,-422.6229579,1.077124245,-422.6229579,1.077124245,38.41218281,0
0.03125781445,-422.5128992,1.126940575,-422.5128992,1.126940575,38.53299159,0
0.03138284571,-422.4028359,1.17667058,-422.4028359,1.17667058,38.65377335,0
0.03150787697,-422.2927681,1.226314113,-422.2927681,1.226314113,38.77451173,0
0.03163290823,-422.1826956,1.275871026,-422.1826956,1.275871026,38.89522999,0
0.03175793948,-422.0726187,1.325341173,-422.0726187,1.325341173,39.01591122,0
0.03188297074,-421.9625371,1.374724405,-421.9625371,1.374724405,39.13655909,0
0.032008002,-421.852451,1.424020577,-421.852451,1.424020577,39.25718684,0
0.03213303326,-421.7423602,1.473229539,-421.7423602,1.473229539,39.37776754,0
0.03225806452,-421.6322649,1.522351145,-421.6322649,1.522351145,39.49832491,0
0.03238309577,-421.5221649,1.571385247,-421.5221649,1.571385247,39.61885536,0
0.03250812703,-421.4120603,1.620331699,-421.4120603,1.620331699,39.73934237,0
0.03263315829,-421.3019511,1.669190542,-421.3019511,1.669190542,39.85980938,0
0.03275818955,-421.1918374,1.717962333,-421.1918374,1.717962333,39.98023977,0
0.03288322081,-421.081719,1.766647719,-421.081719,1.766647719,40.10063747,0
0.03300825206,-420.9715962,1.815247343,-420.9715962,1.815247343,40.22101555,0
0.03313328332,-420.8614688,1.863761852,-420.8614688,1.863761852,40.34134843,0
0.03325831458,-420.751337,1.912191889,-420.751337,1.912191889,40.46165907,0
0.03338334584,-420.6412008,1.960538101,-420.6412008,1.960538101,40.58194428,0
0.03350837709,-420.5310602,2.008801132,-420.5310602,2.008801132,40.70218877,0
0.03363340835,-420.4209153,2.056981627,-420.4209153,2.056981627,40.82241466,0
0.03375843961,-420.310766,2.105080232,-420.310766,2.105080232,40.94260665,0
0.03388347087,-420.2006124,2.153097591,-420.2006124,2.153097591,41.06276824,0
0.03400850213,-420.0904546,2.201034349,-420.0904546,2.201034349,41.18291163,0
0.03413353338,-419.9802926,2.248891152,-419.9802926,2.248891152,41.30301324,0
0.03425856464,-419.8701264,2.296668644,-419.8701264,2.296668644,41.42309416,0
0.0343835959,-419.7599561,2.344367471,-419.7599561,2.344367471,41.54315161,0
0.03450862716,-419.6497817,2.391988277,-419.6497817,2.391988277,41.66317131,0
0.03463365841,-419.5396031,2.439531709,-419.5396031,2.439531709,41.78317379,0
0.03475868967,-419.4294206,2.486998409,-419.4294206,2.486998409,41.90314502,0
0.03488372093,-419.319234,2.534389025,-419.319234,2.534389025,42.02308806,0
0.03500875219,-419.2090434,2.581704201,-419.2090434,2.581704201,42.1430143,0
0.03513378345,-419.0988489,2.628944581,-419.0988489,2.628944581,42.26290203,0
0.0352588147,-418.9886505,2.676110811,-418.9886505,2.676110811,42.3827706,0
0.03538384596,-418.8784482,2.723203537,-418.8784482,2.723203537,42.5026176,0
0.03550887722,-418.7682421,2.770223402,-418.7682421,2.770223402,42.62242971,0
0.03563390848,-418.6580322,2.817171053,-418.6580322,2.817171053,42.74222596,0
0.03575893973,-418.5478185,2.864047133,-418.5478185,2.864047133,42.86199349,0
0.03588397099,-418.4376011,2.910852289,-418.4376011,2.910852289,42.98173501,0
0.03600900225,-418.3273799,2.957587166,-418.3273799,2.957587166,43.10146107,0
0.03613403351,-418.2171551,3.004252407,-418.2171551,3.004252407,43.22115179,0
0.03625906477,-418.1069267,3.050848659,-418.1069267,3.050848659,43.34082483,0
0.03638409602,-417.9966946,3.097376566,-417.9966946,3.097376566,43.46047813,0
0.03650912728,-417.886459,3.143836774,-417.886459,3.143836774,43.58009933,0
0.03663415854,-417.7762199,3.190229928,-417.7762199,3.190229928,43.69970598,0
0.0367591898,-417.6659772,3.236556672,-417.6659772,3.236556672,43.81928637,0
0.03688422106,-417.5557311,3.282817651,-417.5557311,3.282817651,43.93884286,0
0.03700925231,-417.4454815,3.329013512,-417.4454815,3.329013512,44.05838519,0
0.03713428357,-417.3352286,3.375144898,-417.3352286,3.375144898,44.17789525,0
0.03725931483,-417.2249723,3.421212455,-417.2249723,3.421212455,44.29738907,0
0.03738434609,-417.1147126,3.467216827,-417.1147126,3.467216827,44.41686492,0
0.03750937734,-417.0044497,3.513158661,-417.0044497,3.513158661,44.53631139,0
0.0376344086,-416.8941835,3.559038601,-416.8941835,3.559038601,44.65574458,0
0.03775943986,-416.7839141,3.604857291,-416.7839141,3.604857291,44.77515389,0
